System,DocSize,Trial,Acc,Update.time,Init.time
JAGS,200,1,0.2,0.4350286,5.439091564
JAGS,200,2,0.15,0.4484131,5.569134208
JAGS,200,3,0.1,0.415221,5.228932333
JAGS,200,4,0.15,0.4347329,5.488961917
JAGS,200,5,0.05,0.4365268,5.430563587
JAGS,200,6,0.05,0.5268011,5.442005451
JAGS,200,7,0,0.4342206,5.461338780
JAGS,200,8,0.05,0.4556377,5.370273268
JAGS,200,9,0,0.4341276,5.355102198
JAGS,200,10,0,0.4391022,5.519024920
JAGS,2000,1,0.45,22.92693,145.016682486
JAGS,2000,2,0.415,23.01039,144.910460951
JAGS,2000,3,0.42,22.93635,144.713094688
JAGS,2000,4,0.375,23.02316,144.729531691
JAGS,2000,5,0.38,22.82661,144.256605299
JAGS,2000,6,0.415,22.90118,144.636441085
JAGS,2000,7,0.37,21.75942,139.812739779
JAGS,2000,8,0.395,22.83178,144.623167060
JAGS,2000,9,0.405,22.81068,144.484507119
JAGS,2000,10,0.375,22.83441,145.033881482
JAGS,8000,1,0.71375,228.4158,1639.593661178
JAGS,8000,2,0.70125,228.1226,1640.269626990
JAGS,8000,3,0.69625,228.0253,1639.268079449
JAGS,8000,4,0.7,227.9009,1641.956426260
JAGS,8000,5,0.7025,228.0591,1638.781177277
JAGS,8000,6,0.72625,228.2655,1639.991808220
JAGS,8000,7,0.7175,228.0917,1640.996628266
JAGS,8000,8,0.705,228.4609,1641.006009605
JAGS,8000,9,0.70875,228.0504,1642.218580777
JAGS,8000,10,0.7,228.0888,1641.349238497
JAGS,14000,1,0.7685714,542.7214,4822.463136825
JAGS,14000,2,0.7628571,542.4354,4822.899395112
JAGS,14000,3,0.7664286,542.571,4821.687283198
JAGS,14000,4,0.7614286,542.7369,4826.284366071
JAGS,14000,5,0.7742857,542.2874,4828.247059084
JAGS,14000,6,0.77,542.2795,4823.716535557
JAGS,14000,7,0.77,542.9298,4823.487548693
JAGS,14000,8,0.7764286,542.3734,4826.206995990
JAGS,14000,9,0.7721429,542.2951,4817.184545262
JAGS,14000,10,0.7607143,542.1095,4823.215809277
JAGS,20000,1,0.8015,894.6757,9220.364830023
JAGS,20000,2,0.7985,895.7235,9204.231738116
JAGS,20000,3,0.794,895.2152,9225.183462543
JAGS,20000,4,0.7985,895.9489,9210.716681919
JAGS,20000,5,0.7985,894.4623,9224.409726599
JAGS,20000,6,0.802,894.7565,9218.473163762
JAGS,20000,7,0.799,894.7116,9204.043905942
JAGS,20000,8,0.8025,894.9206,9217.690574929
JAGS,20000,9,0.8055,894.7046,9282.142578783
JAGS,20000,10,0.7965,894.6143,9289.533490364
Hakaru,200,1,0.500000,1.635939373,32.727273558
Hakaru,200,2,0.450000,1.640893657,26.715360602
Hakaru,200,3,0.500000,1.643612257,26.724751107
Hakaru,200,4,0.550000,1.652087238,26.586986931
Hakaru,200,5,0.650000,1.637519386,26.446367338
Hakaru,200,6,0.550000,1.616688597,26.877671004
Hakaru,200,7,0.500000,1.628227374,28.687367982
Hakaru,200,8,0.500000,1.637778194,26.662846460
Hakaru,200,9,0.500000,1.619728138,27.230469714
Hakaru,200,10,0.500000,1.640137306,26.519673015
Hakaru,2000,1,0.685000,81.966036415,106.801714015
Hakaru,2000,2,0.705000,82.199141985,107.017454630
Hakaru,2000,3,0.705000,81.805341112,106.768881350
Hakaru,2000,4,0.690000,81.809486305,107.299674522
Hakaru,2000,5,0.685000,81.522879046,106.347397489
Hakaru,2000,6,0.695000,82.03056933,106.962877164
Hakaru,2000,7,0.695000,81.663385936,107.216395656
Hakaru,2000,8,0.690000,81.933268521,107.500140408
Hakaru,2000,9,0.695000,82.03618335,107.238681033
Hakaru,2000,10,0.690000,81.828126821,106.991746202
Hakaru,8000,1,0.791250,740.418891159,765.639681303
Hakaru,8000,2,0.788750,737.202085277,762.169518007
Hakaru,8000,3,0.793750,739.078638048,763.880990990
Hakaru,8000,4,0.782500,739.151507898,764.227441184
Hakaru,8000,5,0.783750,738.517037139,763.974891022
Hakaru,8000,6,0.780000,738.304576739,763.418418974
Hakaru,8000,7,0.782500,737.981314817,763.085767866
Hakaru,8000,8,0.788750,736.799686948,761.775465988
Hakaru,8000,9,0.781250,736.906144486,761.802042121
Hakaru,8000,10,0.782500,739.343212932,765.128171553
Hakaru,14000,1,0.797143,1816.540019915,1841.177557198
Hakaru,14000,2,0.792143,1826.659907847,1851.687501896
Hakaru,14000,3,0.787857,1817.791417569,1842.877486509
Hakaru,14000,4,0.792143,1825.049769027,1849.701577847
Hakaru,14000,5,0.793571,1825.491697072,1850.679209072
Hakaru,14000,6,0.794286,1822.727286715,1847.818394677
Hakaru,14000,7,0.791429,1820.599512091,1844.795274779
Hakaru,14000,8,0.792857,1821.995608652,1847.220362629
Hakaru,14000,9,0.791429,1822.311242399,1847.267942089
Hakaru,14000,10,0.796429,1826.96408833,1852.139281108
Hakaru,19997,1,0.815500,3125.096914794,3150.999167147
Hakaru,19997,2,0.813500,3131.705904203,3157.014848877
Hakaru,19997,3,0.812500,3142.059656219,3167.064204455
Hakaru,19997,4,0.815000,3126.374432687,3151.212655486
Hakaru,19997,5,0.813000,3129.198345026,3154.245803064
Hakaru,19997,6,0.812000,3126.779452763,3151.615676826
Hakaru,19997,7,0.816500,3137.967738972,3163.233804917
Hakaru,19997,8,0.813000,3124.599253307,3149.349448835
Hakaru,19997,9,0.813500,3124.472770451,3149.433618291
Hakaru,19997,10,0.813500,3130.818034842,3155.878356611
